🕘️更新时间,#genre#
2025-12-22 10:02:03

📺全部频道,#genre#
CCTV-7,http://223.167.230.5:4022/rtp/239.45.3.56:5140
CCTV-7,http://121.29.141.118:4022/rtp/239.253.92.194:6059
CCTV-7,http://114.254.38.27:18888/rtp/239.3.1.61:8104
CCTV-7,http://171.113.210.161:4022/rtp/239.69.1.103:10256
CCTV-7,http://175.8.182.37:7878/udp/239.76.246.157:1234
CCTV-7,http://123.191.26.168:1111/rtp/232.0.0.136:1234
CCTV-7,http://114.100.195.238:4022/rtp/238.1.78.239:7784
CCTV-7,http://27.191.202.231:19999/rtp/239.254.200.159:6000
CCTV-7,http://144.255.31.207:6688/udp/239.21.1.152:5002
CCTV-7,http://175.8.182.37:7878/udp/239.76.253.157:9000
CCTV-7,http://106.118.20.104:8188/rtp/239.254.200.159:6000
CCTV-7,http://106.83.116.40:8188/rtp/235.254.198.56:1500
CCTV-7,http://220.176.218.76:9000/udp/239.252.220.185:5140
CCTV-7,http://106.120.13.232:4022/rtp/225.1.8.7:8104
CCTV-7,http://106.59.2.119:55555/udp/239.200.200.105:8104
CCTV-7,http://58.46.71.35:8188/udp/239.76.253.157:9000
CCTV-7,http://183.236.43.98:4013/udp/239.77.0.138:5146
CCTV-7,http://113.119.27.173:58888/udp/239.77.0.138:5146
CCTV-7,http://115.171.80.250:1688/rtp/225.1.8.7:8104
CCTV-8,http://111.162.207.175:8686/rtp/225.1.1.196:5002
CCTV-8,http://121.29.141.118:4022/rtp/239.253.92.195:6060
CCTV-8,http://223.167.230.5:4022/rtp/239.45.1.71:5140
CCTV-8,http://171.113.210.161:4022/rtp/239.69.1.125:10388
CCTV-8,http://114.254.38.27:18888/rtp/239.3.1.175:8001
CCTV-8,http://183.236.43.98:4013/udp/239.77.0.172:5146
CCTV-8,http://144.255.32.94:8288/udp/239.21.2.48:5002
CCTV-8,http://113.119.27.173:58888/udp/239.77.0.172:5146
CCTV-8,http://123.191.26.168:1111/rtp/232.0.0.173:1234
