🕘️更新时间,25/12/31-09:27:22

📺全部频道,#genre#
CCTV-14,http://115.171.216.39:4000/rtp/225.1.8.14:8132
CCTV-15,http://yp.qqqtv.top/1/api.php?id=CCTV-15HD&auth=666858
CCTV-15,http://117.12.149.204:4022/rtp/225.1.2.194:5002
CCTV-15,http://114.241.251.105:4022/rtp/239.3.1.153:8136
CCTV-15,http://223.198.242.180:4000/rtp/239.253.64.72:5140
CCTV-15,http://220.176.218.76:9000/udp/239.252.219.79:5140
CCTV-15,http://144.255.31.40:6688/udp/239.21.2.4:5002
CCTV-15,http://114.100.195.41:4022/rtp/238.1.78.222:7648
CCTV-15,http://115.171.216.84:4000/rtp/225.1.8.74:8136
CCTV-15,http://111.113.88.146:2000/rtp/239.121.4.202:9208
CCTV-15,http://114.107.44.80:8188/rtp/238.1.78.222:7648
CCTV-15,http://144.255.32.146:8288/udp/239.21.2.4:5002
CCTV-15,http://106.116.240.126:9999/rtp/239.254.201.124:8136
CCTV-15,http://27.191.202.133:19999/rtp/239.254.201.124:8136
CCTV-16,http://tvlist.top/jd/index.php?id=cctv16&qt=183.224.122.114:8014
CCTV-16,http://39.152.103.17:8089/tsfile/live/1015_1.m3u8
CCTV-16,http://117.12.149.204:4022/rtp/225.1.2.237:5002
CCTV-16,http://223.198.242.180:4000/rtp/239.253.64.126:5140
CCTV-16,http://114.241.251.105:4022/rtp/239.3.1.184:8001
CCTV-16,http://223.198.242.180:4000/rtp/239.253.64.251:5140
CCTV-16,http://106.59.2.153:55555/rtp/239.200.200.193:8776
CCTV-16,http://111.113.88.146:2000/rtp/239.121.4.122:8008
CCTV-16,http://183.236.43.98:4013/udp/239.77.0.165:5146
CCTV-17,http://yp.qqqtv.top/1/api.php?id=CCTV-17HD&auth=666858
CCTV-17,http://117.12.149.204:4022/rtp/225.1.2.52:5002
CCTV-17,http://114.241.251.105:4022/rtp/239.3.1.151:8144
CCTV-17,http://114.254.37.254:18888/rtp/239.3.1.151:8144
CCTV-17,http://223.198.242.180:4000/rtp/239.253.64.67:5140
CCTV-17,http://39.152.103.17:8089/tsfile/live/1016_1.m3u8
CCTV-17,http://106.59.2.153:55555/rtp/239.200.201.128:8504
CCTV-17,http://114.107.44.80:8188/rtp/238.1.78.178:7296
CCTV-17,http://106.116.240.126:9999/rtp/239.254.201.120:8144
CCTV-17,http://114.100.195.41:4022/rtp/238.1.78.178:7296
CCTV-17,http://180.105.201.135:9981/rtp/239.49.8.132:6000
CCTV-17,http://111.23.208.105:9908/tsfile/live/0019_1.m3u8
CCTV-17,http://27.191.202.133:19999/rtp/239.254.201.120:8144
CCTV-17,http://115.171.216.84:4000/rtp/225.1.8.17:8144
CCTV-17,http://111.113.88.146:2000/rtp/239.121.4.61:8340
CCTV-17,http://144.255.32.146:8288/udp/239.21.1.186:5002
CCTV-17,http://144.255.31.40:6688/udp/239.21.1.186:5002
安徽卫视,http://satellitepull.cnr.cn/live/wxahws/playlist.m3u8
安徽卫视,http://114.241.251.105:4022/rtp/239.3.1.211:8064
安徽卫视,http://223.198.242.180:4000/rtp/239.253.64.129:5140
安徽卫视,http://111.221.137.234:44330/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://114.107.44.80:8188/rtp/238.1.79.27:4328
安徽卫视,http://114.100.195.41:4022/rtp/238.1.79.27:4328
安徽卫视,http://27.191.202.133:19999/rtp/239.254.200.163:6000
安徽卫视,http://114.100.195.41:4022/rtp/238.1.78.150:7072
安徽卫视,http://111.113.88.146:2000/rtp/239.121.4.161:8950
安徽卫视,http://144.255.31.40:6688/udp/239.21.1.159:5002
安徽卫视,http://180.105.201.135:9981/rtp/239.49.8.204:6000
安徽卫视,http://106.116.240.126:9999/rtp/239.254.200.163:6000
